地    区,合计,男,女,0岁小计,0岁男,0岁女,1-4岁小计,1-4岁男,1-4岁女,5-9岁小计,5-9岁男,5-9岁女,10-14岁小计,10-14岁男,10-14岁女,15-19岁小计,15-19岁男,15-19岁女,20-24岁小计,20-24岁男,20-24岁女,25-29岁小计,25-29岁男,25-29岁女,30-34岁小计,30-34岁男,30-34岁女,35-39岁小计,35-39岁男,35-39岁女,40-44岁小计,40-44岁男,40-44岁女,45-49岁小计,45-49岁男,45-49岁女,50-54岁小计,50-54岁男,50-54岁女,55-59岁小计,55-59岁男,55-59岁女,60-64岁小计,60-64岁男,60-64岁女,65-69岁小计,65-69岁男,65-69岁女,70-74岁小计,70-74岁男,70-74岁女,75-79岁小计,75-79岁男,75-79岁女,80-84岁小计,80-84岁男,80-84岁女,85-89岁小计,85-89岁男,85-89岁女,90-94岁小计,90-94岁男,90-94岁女,95-99岁小计,95-99岁男,95-99岁女,100岁及以上小计,100岁及以上男,100岁及以上女
江    苏,84748016,43031586,41716430,563212,293718,269494,3255415,1702238,1553177,4712756,2518917,2193839,4360565,2360131,2000434,3547458,1941316,1606142,3960507,2156767,1803740,5651518,2996605,2654913,8056248,4114085,3942163,5782058,2917712,2864346,5515497,2764099,2751398,6414218,3195796,3218422,7959964,3926760,4033204,6463255,3207812,3255443,4778814,2412689,2366125,5109879,2537937,2571942,3546676,1739491,1807185,2317239,1102639,1214600,1520000,680452,839548,856090,338292,517798,301424,102465,198959,67131,19516,47615,8092,2149,5943
浙    江,64567588,33680008,30887580,459109,240618,218491,2492380,1309773,1182607,3025007,1612841,1412166,2705285,1446894,1258391,2809150,1519440,1289710,3689026,2023475,1665551,4842431,2628336,2214095,6138589,3271221,2867368,5108402,2689753,2418649,4886328,2548248,2338080,5669138,2930421,2738717,5809583,3006857,2802726,4860476,2503105,2357371,3506335,1794345,1711990,3249015,1615125,1633890,2283757,1125829,1157928,1280523,627673,652850,920175,435724,484451,596246,258878,337368,195271,77190,118081,37885,13212,24673,3477,1050,2427
安    徽,61027171,31103394,29923777,574882,305006,269876,3049332,1615120,1434212,4154829,2246453,1908376,3963639,2161728,1801911,3243833,1777277,1466556,2978515,1583913,1394602,4095570,2108084,1987486,4874396,2413901,2460495,3551994,1772207,1779787,3789431,1913653,1875778,4913582,2476430,2437152,5783366,2842607,2940759,4584566,2265681,2318885,2309825,1187345,1122480,3269243,1625526,1643717,2407317,1203061,1204256,1680903,824152,856751,1019412,473816,545596,551713,227850,323863,184226,65897,118329,41071,12428,28643,5526,1259,4267
福    建,41540086,21466757,20073329,380993,206764,174229,2168351,1173993,994358,2993870,1627920,1365950,2482011,1342664,1139347,2012096,1081131,930965,2039363,1098046,941317,2863711,1528514,1335197,4001865,2049194,1952671,3325154,1704483,1620671,3011449,1544982,1466467,3557534,1818519,1739015,3362556,1711798,1650758,2703264,1363368,1339896,2027870,1021219,1006651,1819219,887915,931304,1133619,562879,570740,719402,349835,369567,517361,232858,284503,288234,115090,173144,106738,38043,68695,22403,6787,15616,3023,755,2268
江    西,45188635,23318533,21870102,426822,233082,193740,2279401,1232031,1047370,3451015,1876684,1574331,3765126,2068265,1696861,3102178,1719313,1382865,2548801,1369289,1179512,2499149,1308333,1190816,3323920,1671282,1652638,2710458,1350321,1360137,3238150,1626712,1611438,3715779,1883843,1831936,3599176,1813375,1785801,2903879,1464299,1439580,2253760,1138994,1114766,2050406,1017426,1032980,1433263,704795,728468,864103,409203,454900,604926,267214,337712,297653,119510,178143,95644,36138,59506,22503,7681,14822,2523,743,1780
山    东,101527453,51432931,50094522,867809,458336,409473,5654507,2993437,2661070,6449085,3516229,2932856,6091237,3322812,2768425,5095239,2712478,2382761,4597108,2381018,2216090,4477580,2339651,2137929,9135499,4650150,4485349,6889470,3500343,3389127,6363630,3213370,3150260,7775207,3917828,3857379,9144577,4570021,4574556,7765699,3813562,3952137,5856728,2906664,2950064,6064768,2958267,3106501,4032222,1915118,2117104,2436617,1125752,1310865,1556244,679355,876889,889340,338605,550735,312269,101247,211022,64374,16997,47377,8244,1691,6553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河    南,99365519,49832349,49533170,916045,476347,439698,5299337,2759721,2539616,8361425,4444479,3916946,8412147,4569462,3842685,6323734,3466004,2857730,4893729,2544846,2348883,5468964,2723249,2745715,8576206,4174801,4401405,5742659,2807864,2934795,5648434,2778430,2870004,7086214,3521070,3565144,8091375,3899778,4191597,6581202,3149276,3431926,4562144,2250693,2311451,5293523,2578866,2714657,3535077,1722549,1812528,2184668,1014076,1170592,1317703,571164,746539,747224,280227,466997,251702,81421,170281,62162,16088,46074,9845,1938,7907
湖    北,57752557,29694718,28057839,476780,254264,222516,2510870,1336323,1174547,3338298,1812285,1526013,3094529,1690411,1404118,2568863,1399553,1169310,2555132,1382378,1172754,3859173,2049815,1809358,5170795,2648622,2522173,3867366,1980079,1887287,3676293,1883293,1793000,4592145,2334627,2257518,5393609,2724100,2669509,4853709,2456122,2397587,3370656,1703279,1667377,3267378,1622862,1644516,2295608,1130865,1164743,1418203,674077,744126,841919,374137,467782,440057,178475,261582,125524,47459,78065,31449,10421,21028,4201,1271,2930
湖    南,66444864,33995673,32449191,565517,301447,264070,3135571,1664289,1471282,4648890,2483847,2165043,4619544,2474466,2145078,3842701,2085474,1757227,3078557,1616275,1462282,3221455,1664755,1556700,5448110,2752660,2695450,4301609,2177206,2124403,3897897,1981518,1916379,5240218,2690595,2549623,6108513,3054992,3053521,5125001,2564334,2560667,3369214,1718897,1650317,3673078,1830422,1842656,2642339,1314119,1328220,1592623,776559,816064,1147496,526151,621345,565567,235241,330326,182650,69995,112655,34956,11572,23384,3358,859,2499
